Date Changed,Rate
20/01/1975,11.25
27/01/1975,11
10/02/1975,10.75
17/02/1975,10.5
10/03/1975,10.25
24/03/1975,10
21/04/1975,9.75
05/05/1975,10
28/07/1975,11
06/10/1975,12
17/11/1975,11.75
01/12/1975,11.5
29/12/1975,11.25
05/01/1976,11
19/01/1976,10.75
26/01/1976,10.5
02/02/1976,10
09/02/1976,9.5
01/03/1976,9.25
08/03/1976,9
26/04/1976,10.5
24/05/1976,11.5
13/09/1976,13
07/10/1976,15
22/11/1976,14.75
20/12/1976,14.5
29/12/1976,14.25
10/01/1977,14
24/01/1977,13.25
31/01/1977,12.25
03/02/1977,12
10/03/1977,11
21/03/1977,10.5
31/03/1977,9.5
12/04/1977,9.25
18/04/1977,9
25/04/1977,8.75
02/05/1977,8.25
16/05/1977,8
08/08/1977,7.5
15/08/1977,7
12/09/1977,6.5
19/09/1977,6
10/10/1977,5.5
17/10/1977,5
28/11/1977,7
09/01/1978,6.5
12/04/1978,7.5
08/05/1978,8.75
15/05/1978,9
08/06/1978,10
09/11/1978,12.5
08/02/1979,14
01/03/1979,13
05/04/1979,12
13/06/1979,14
15/11/1979,17
03/07/1980,16
25/11/1980,14
11/03/1981,12
25/08/1981,12.69
15/09/1981,14
12/10/1981,15
28/10/1981,15.13
06/11/1981,15.06
09/11/1981,14.63
25/11/1981,14.56
04/12/1981,14.38
18/01/1982,14.31
19/01/1982,14.25
20/01/1982,14.13
21/01/1982,14
22/01/1982,13.88
22/02/1982,13.81
25/02/1982,13.63
10/03/1982,13.25
16/04/1982,13.13
19/04/1982,13
20/04/1982,13.13
08/06/1982,12.63
09/07/1982,12.5
12/07/1982,12.25
13/07/1982,12.13
21/07/1982,12.06
26/07/1982,11.94
28/07/1982,11.81
29/07/1982,11.75
30/07/1982,11.63
02/08/1982,11.56
04/08/1982,11.5
16/08/1982,11.38
17/08/1982,11.25
24/08/1982,11.13
25/08/1982,11
26/08/1982,10.88
27/08/1982,10.63
27/09/1982,10.5
28/09/1982,10.38
29/09/1982,10.25
30/09/1982,10.13
12/10/1982,9.63
01/11/1982,9.38
02/11/1982,9.13
26/11/1982,10
12/01/1983,11
15/03/1983,10.56
13/04/1983,10.31
14/04/1983,10.06
13/06/1983,9.81
14/06/1983,9.56
09/08/1983,9.44
10/08/1983,9.56
03/10/1983,9.06
07/03/1984,8.81
14/03/1984,8.56
10/05/1984,9.06
29/06/1984,8.88
06/07/1984,10
11/07/1984,12
08/08/1984,11.5
09/08/1984,11
16/08/1984,10.75
17/08/1984,10.5
05/11/1984,10
19/11/1984,9.75
23/11/1984,9.5
14/01/1985,11.88
28/01/1985,13.88
20/03/1985,13.38
28/03/1985,12.88
19/04/1985,12.38
11/07/1985,11.88
26/07/1985,11.38
15/01/1986,12.38
19/03/1986,11.38
11/04/1986,10.88
18/04/1986,10.38
23/05/1986,9.88
15/10/1986,10.88
09/03/1987,10.38
18/03/1987,9.88
28/04/1987,9.38
08/05/1987,8.88
06/08/1987,9.88
23/10/1987,9.38
04/11/1987,8.88
03/12/1987,8.38
01/02/1988,8.88
17/03/1988,8.38
08/04/1988,7.88
17/05/1988,7.38
03/06/1988,7.88
10/06/1988,8.38
24/06/1988,8.88
07/07/1988,9.88
21/07/1988,10.38
08/08/1988,10.88
25/08/1988,11.88
25/11/1988,12.88
25/05/1989,13.75
31/08/1989,13.84
04/09/1989,13.88
08/09/1989,13.75
06/10/1989,14.88
08/10/1990,13.88
13/02/1991,13.38
27/02/1991,12.88
22/03/1991,12.38
12/04/1991,11.88
24/05/1991,11.38
12/07/1991,10.88
04/09/1991,10.38
05/05/1992,9.88
22/09/1992,8.88
16/10/1992,7.88
13/11/1992,6.88
26/01/1993,5.88
23/11/1993,5.38
08/02/1994,5.13
12/09/1994,5.63
07/12/1994,6.13
02/02/1995,6.63
13/12/1995,6.38
18/01/1996,6.13
08/03/1996,5.94
06/06/1996,5.69
30/10/1996,5.94
06/05/1997,6.25
06/06/1997,6.5
10/07/1997,6.75
07/08/1997,7
06/11/1997,7.25
04/06/1998,7.5
08/10/1998,7.25
05/11/1998,6.75
10/12/1998,6.25
07/01/1999,6
04/02/1999,5.5
08/04/1999,5.25
10/06/1999,5
08/09/1999,5.25
04/11/1999,5.5
13/01/2000,5.75
10/02/2000,6
08/02/2001,5.75
05/04/2001,5.5
10/05/2001,5.25
02/08/2001,5
18/09/2001,4.75
04/10/2001,4.5
08/11/2001,4
06/02/2003,3.75
10/07/2003,3.5
06/11/2003,3.75
05/02/2004,4
06/05/2004,4.25
10/06/2004,4.5
05/08/2004,4.75
04/08/2005,4.5
03/08/2006,4.75
09/11/2006,5
11/01/2007,5.25
10/05/2007,5.5
05/07/2007,5.75
06/12/2007,5.5
07/02/2008,5.25
10/04/2008,5
08/10/2008,4.5
06/11/2008,3
04/12/2008,2
08/01/2009,1.5
05/02/2009,1
05/03/2009,0.5
04/08/2016,0.25
02/11/2017,0.5
02/08/2018,0.75
11/03/2020,0.25
19/03/2020,0.1
16/12/2021,0.25
03/02/2022,0.5
17/03/2022,0.75
05/05/2022,1
16/06/2022,1.25
04/08/2022,1.75
22/09/2022,2.25
03/11/2022,3
15/12/2022,3.5
